annotation_order,item_id,subject,source,A_semantic_fidelity,A_answer_preservation,A_tunisian_authenticity,A_msa_moroccan_interference,A_orthographic_naturalness,A_cultural_validity,A_verdict,A_origin,A_corrected_derja,B_semantic_fidelity,B_answer_preservation,B_tunisian_authenticity,B_msa_moroccan_interference,B_orthographic_naturalness,B_cultural_validity,B_verdict,B_origin,final_verdict,final_origin,adjudicated
87,professional_psychology::599,professional_psychology,mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,صيغة التصحيح من التخفيف تتستعمل باش نقيسوا تأثير الزيادة في:,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
88,economics::118,economics,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
89,professional_law::769,professional_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"المتهم تحكم عليه بالسرقة المسلحة. في الاستئناف، طلب المتهم محاكمة جديدة، وقال اللي حقوقو في التعديل السادس تخرقوا خاطر ما تعطاتلوش مساعدة قانونية فعّالة في المحاكمة. شنوّة من الوقائع هاذي، إذا ثبتت، تعطي أحسن أساس باش يثبت المتهم دعوى عدم فعالية المحامي؟|||1. محامي المحاكمة كذب على المتهم بخصوص تجربتو في المحاكمات الجنائية.
2. محامي المحاكمة ما استجوبش شاهد الإثبات.
3. محامي المحاكمة ما تشاورش مع المتهم على استراتيجية المحاكمة.
4. محامي المحاكمة ما كانش يؤمن ببراءة المتهم.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
90,math::283,math,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
91,public_relations::60,public_relations,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,اناهو نوع من أنواع أسئلة الاستطلاع هاذي يطلب معلومات نوعية (كيفية)؟,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
92,general_knowledge::85,general_knowledge,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,تتعمل عملية .......... باليد ولاّ بوسايل فلاحية.,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
93,geography::842,geography,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,0,1,FIXABLE,TRANSLATION,OK,,True
94,arabic_language::378,arabic_language,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
95,islamic_studies::1245,islamic_studies,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,صلاة المسافر والمريض تدل على:,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
96,moral_disputes::129,moral_disputes,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"شنوّة الجملة اللي ماسيدو موش باش يتفق معاها من الجمل هاذي؟|||1. الدول لازمها تعطي أهمية خاصة لمواطنينها.
2. سياسات الهجرة ممكن يكون عندها تأثيرات اقتصادية قوية.
3. الحكم الذاتي ما عندوش أهمية أخلاقية في نقاش الهجرة.
4. فما أسباب تخلينا نفكروا اللي سياسة الهجرة في أمريكا كان عندها تأثيرات سلبية على توزيع الدخل بين المواطنين.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
97,biology::1051,biology,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,شنوّة هي العضية اللي تدخل في تصنيع الأغشية الخلوية وتعطي الخلية هيكل دعامي؟,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
98,economics::251,economics,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
99,computer_science::430,computer_science,arabic_mmlu,0,1,0,1,1,1,FIXABLE,TRANSLATION,العنصر الرئيسي في قواعد البيانات هو:,1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
100,general_knowledge::1177,general_knowledge,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,"شنوّة هي الدولة العربية اللي فيها مدينة القدس؟|||1. فلسطين
2. مصر
3. السعودية",1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
101,islamic_studies::158,islamic_studies,arabic_mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,المسلم يحرص باش يصلّي الصلاة في وقتها.,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
102,biology::1153,biology,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,حبة اللقاح تنبت بانقسام ميوزي متاع الجراثيم الصغيرة.,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
103,management_ar::24,management_ar,arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"اختار الجواب الصحيح بنعم ولاّ لا من اللي جاي:
ما فماش احتياطات تتاخذ بعين الاعتبار وقتلّي يشاركوا الأفراد.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
104,human_aging::16,human_aging,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"الدراسات على الناس اللي فقدوا شخص عزيز لقات اللي من أكثر الحاجات اللي تعاون هي اللي الناس الأخرين:|||1. يتجنبوا أي كلام على الميت
2. يبقاوا قراب منهم
3. يبعدوا ويخليوا الشخص يحزن وحدو
4. يبدلوا بيئة الدار للشخص اللي فقد",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
105,driving_test::48,driving_test,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,"الحاجات اللي تتحط على البلور القدامي ولاّ قدام السوفار تضر الركاب إذا صار حادث.|||1. إي
2. لا",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
106,nutrition::294,nutrition,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"اناهي جملة توصف أحسن الفرق بين خصائص السكري من النوع 1 والنوع 2؟|||1. الناس اللي عندهم سكري النوع 2 عادة يحتاجوا جرعات أنسولين أقل من الناس اللي عندهم سكري النوع 1 خاطر عندهم نوع خفيف من السكري
2. الناس اللي عندهم سكري النوع 1 يطيحوا بسرعة في المضاعفات المزمنة
3. العوامل المناعية الذاتية تدخل في ظهور سكري النوع 1 أما موش في النوع 2
4. الناس اللي عندهم سكري النوع 1 ينجموا يزيدوا في إنتاج الأنسولين الداخلي متاعهم بتناول أدوية خافضة للسكر عن طريق الفم",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
107,professional_law::1059,professional_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"في 2006، شرى مستثمر قطعة أرض بـ100 هكتار في منطقة ريفية. من بعد بشوية، حضّر المستثمر مخطط تقسيم يخلق 90 قطعة سكنية بهكتار للوحدة في الأرض هاذي، والقطعة الباقية بـ10 هكتارات اقترح تتخصص لمدرسة عمومية. في بروشور البيع اللي كان يروّج للتقسيم، قال اللي ""بالإضافة لقرب المدرسة المقترحة لسكان التقسيم، المندوبية الجهوية للتعليم موش باش تحتاج تصرف فلوس الضرائب باش تشري الأرض هاذي لبناء المدرسة."" في 2007، تسجّل مخطط التقسيم في مكتب التسجيل متاع المقاطعة. في 15 جانفي 2009، صوّت المجلس الجهوي للتعليم باش يبني مدرسة جديدة في القطعة متاع الـ10 هكتارات. تخصيص المستثمر للقطعة متاع الـ10 هكتارات لبناء المدرسة نجموا نوصفوه أحسن بأنّو:",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
108,islamic_studies::1582,islamic_studies,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,المسلمين يدخلوا للنار.,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
109,geography::106,geography,arabic_mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,"الفرق بين الجغرافيا السياسية والجيوبوليتيك يتمثل في عنصرين: ...........|||1. الموقع والوقت
2. الحركة والمسافة
3. الوقت والحركة
4. المسافة والموقع",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
110,high_school_european_history::149,high_school_european_history,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"السؤال هذا يتعلّق بالمعلومات التالية.
قانون أديسون تعمل على أساس اللي إذا ما تلبّاتش طموحات الطبقة العاملة بسرعة بعد الحرب، بريطانيا تنجّم تشوف ثورة كيما اللي صارت في روسيا. في عام 1920 بدا الخوف هذا يتراجع، وبدات سياسة أديسون تتشاف على أساس اللي هي مكلفة برشا. من الضحايا المباشرين للموقف الجديد هذا كان مشروع شارع كينغفيلد في البلدية، اللي تصادقت الخطط الأولية متاعو في سبتمبر 1920. وبشكل مفاجئ للمجلس، مجلس الإسكان متاع الحكومة أجّل المشروع ""نظرًا للالتزامات الحالية متاع المجلس والفلوس المتوفرة في الوقت هذا""، وفي ماي 1921 أعلنت الحكومة على تقليص كبير في برنامج الإسكان، وخفضت هدف الإسكان بالنصف.
—مقتطف من عمل المؤرخة الإنجليزية هيرميون هوبهاوس، ""الإسكان العمومي في بوبلار: سنوات ما بين الحربين""، 1994
شنوّة أحسن وصف للتبدل في الخطط المذكور الفوق؟|||1. البرامج الاجتماعية ولّت محل شك بعد الحرب العالمية الأولى.
2. الإسكان كان جزء كبير من ميزانية بريطانيا.
3. العمال كانوا يهددوا بثورة شيوعية.
4. مجلس الإسكان متاع الحكومة حب يبني ديار أكثر.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
111,geography::267,geography,arabic_mmlu,1,0,1,1,1,1,DISCARD,UNCLEAR,,1,1,0,0,0,1,FIXABLE,TRANSLATION,DISCARD,UNCLEAR,True
112,general_knowledge::724,general_knowledge,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,"قدّاش من مرة تذكرت كلمة (الفردوس) في القرآن الكريم؟|||1. مرة وحدة
2. زوز مرات
3. أربعة مرات
4. سبعة مرات",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
113,professional_law::1170,professional_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"سوبرماركت عمل كونطرا مع مخبزة باش تعطيه 100 خبزة قمح كامل في السيمانة لمدة 12 سيمانة متتالية. الخبز لازم يتسلم في النهار الأول من كل سيمانة، والخلاص يتم في ظرف 4 أيام من التسليم. في الأربعة سيمانات الأولى، سلّمت المخبزة الخبز والسوبرماركت خلّص كيف ما متفقين. كي وصلت الطلبية الخامسة، لقا السوبرماركت اللي الشحنة فيها 80 خبزة قمح كامل و20 خبزة خميرة. مدير السوبرماركت عيّط فيسع للمخبزة باش يشكي على الشحنة. المسؤول في المخبزة اعتذر وعرض باش يبعث 20 خبزة قمح كامل في ظرف 24 ساعة. شنوّة التأثير القانوني المحتمل للمحادثة هاذي بين المدير والمسؤول فيما يخص الشحنة الخامسة؟|||1. السوبرماركت عندو الحق يرفض الشحنة الخامسة ويفسخ الكونطرا.
2. السوبرماركت عندو الحق يرفض الشحنة الخامسة، أما يتحمل مسؤولية التسليمات الباقية.
3. السوبرماركت ما عندوش الحق يرفض عرض المسؤول باش يصلّح الغلطة.
4. السوبرماركت عندو الحق يشري خبز بديل.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
114,sociology::125,sociology,mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,"قال ماركس اللي تطور الحركة العمالية من خلال الإنتاج في المصانع باش يحوّل الطبقة العاملة لـ:|||1. طبقة في حد ذاتها
2. طبقة بوحدها
3. طبقة لنفسها
4. طبقة حاكمة",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
115,global_facts::50,global_facts,mmlu,0,1,0,0,1,1,FIXABLE,TRANSLATION,حتى لعام 2019، قدّاش من المية من الناس يقولوا اللي لازم تؤمن بربي باش يكون عندك أخلاق ومبادئ باهية؟,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
116,islamic_studies::115,islamic_studies,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
117,economics::135,economics,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,الهولوغرام (التصوير المجسم) اللي يمثل شعار المملكة بختم بارز (طبقة فضية فيها قيمة الورقة النقدية بالأرقام) ويتغير لونها بألوان قوس قزح كي نميلوها، يكون في الفئة:,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
118,natural_science::33,natural_science,arabic_mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,انجراف التربة يعتبر من مظاهر التجوية.,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
119,moral_disputes::46,moral_disputes,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"كاس يتخوف اللي الناس المستنسخين:|||1. باش يتشافوا كيما حاجة غريبة.
2. باش يتقارنوا مع الشخص اللي تستنسخوا منو.
3. الزوز مع بعضهم
4. حتى وحدة منهم",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
120,islamic_studies::694,islamic_studies,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,0,0,1,1,FIXABLE,TRANSLATION,OK,,True
121,philosophy::133,philosophy,mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,"ميل يعرّف ""المنفعة"" بأنها:|||1. النفع في صنعة معينة.
2. النفع للمجتمع.
3. اللذة وغياب الألم.
4. تعزّز مصالح الجميع وما تضرّ حد.",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
122,islamic_studies::2100,islamic_studies,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,الإكثار من الصلاة على النبي وخاصة في نهار:,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
123,history::347,history,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,أثّرت بعض النتائج العسكرية في أيام الحملة الفرنسية بالسلب على:,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
124,security_studies::193,security_studies,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"اناهي جملة من الجمل هاذي هي اللي موش كيف الأخرين؟|||1. المؤسسات اللي تسهّل إعادة إنتاج القيم الثقافية، كيما الكنائس والمدارس، تنجّم تتستعمل باش تتحكم في القيم الثقافية هاذي وتقوّيها.
2. الاستراتيجيات السياسية والوطنية تنجّم تستعملها الدولة باش تعزز المصالح الوطنية.
3. استخدام القوات العسكرية باش يطردوا مجموعات اجتماعية من داخل الدولة.
4. الانفصال يسمح لمجموعة مجتمعية باش تنسحب من كيان أكبر وين تنجّم تكون مهددة بالتذويب ولاّ التدمير.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
125,professional_law::1382,professional_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"في قضية جنائية، الحكومة لازمها تثبت اللي المتهم لصق طابع مطاطي فيه إمضاؤو على رسائل مزوّرة تبعثت للضحية. المتهم نكر اللي هو اللي ختم الرسائل. ما كانش ثمة شهود شافوا المتهم يختم في الرسائل. النيابة العمومية حاولت تقدّم زميل خدمة باش يشهد اللي المتهم كان الطابع عندو بوحدو، وكان يستعملو مرة في النهار مع الثلاثة متاع العشية باش يمضي الرسائل اللي باش تتبعث، ومن بعد يرجّعو للخزانة متاعو في الحين. الزميل باش يشهد اللي شاف المتهم يستعمل الطابع بالطريقة هاذي لسنين برشا. الدفاع اعترض على خاطر الشي هذا ما يثبتش اللي المتهم عمل نفس الشي في التواريخ اللي فيها المشكل. حسب قواعد الإثبات الفيدرالية، شنوّة باش يكون حكم المحكمة؟|||1. الشهادة موش مقبولة خاطر الدليل على العادة موش مقبول في القضايا الجنائية حسب قواعد الإثبات الفيدرالية.
2. الشهادة موش مقبولة خاطر الدليل على العادة السابقة كان باش يشتت انتباه هيئة المحلفين على قرار واش المتهم فعلا تصرف بالطريقة هاذي في التواريخ المحددة.
3. الشهادة مقبولة خاطر تثبت اللي المتهم هو الوحيد اللي ممكن يكون استعمل الطابع.
4. الشهادة مقبولة خاطر العادة والروتين مقبولين كدليل حسب قواعد الإثبات الفيدرالية.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
126,high_school_psychology::340,high_school_psychology,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"تلميذ عمرو 10 سنين تولد في بلاد ما يتكلموش فيها بالإنجليزية، تحال باش يدخل للتربية المختصة على أساس العلامات الضعيفة اللي جابها في الامتحان الجماعي متاع المندوبية. التلميذ هذا جاب علامات عالية في امتحان الإنجليزية متاع المندوبية. من بين طرق التقييم التشخيصي هاذي، الطريقة الأنسب هي اللي:|||1. تستعمل مترجم يعرف مليح لغة البلاد اللي تولد فيها التلميذ
2. تستعمل نتائج على الأقل زوز اختبارات ذكاء باللغة الإنجليزية
3. تاخذ بعين الاعتبار السلوك الاجتماعي الثقافي والتكيفي في عملية تحديد المهارات والقدرات
4. تشمل مقابلات مع الوالدين وملاحظات في القسم بالإضافة لنتائج اختبار الذكاء",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
127,high_school_statistics::208,high_school_statistics,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"عضو في لجنة المدرسة يدافع على زيادة في الأداء على المازوط باش يدعم نظام المدارس في المقاطعة. الجريدة المحلية عملت استطلاع رأي مع سكان المقاطعة باش تشوف قدّاش يدعموا في الزيادة هاذي. شكونهم الناس المعنيين هوني (المجتمع الإحصائي)؟|||1. كان الصغار اللي في سن التمدرس
2. سكان المقاطعة الكل
3. كان سكان المقاطعة اللي عندهم أولاد في سن التمدرس
4. كان سكان المقاطعة اللي عندهم أولاد في نظام مدارس المقاطعة",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
128,computer_science::368,computer_science,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
129,arabic_language_(general)::27,arabic_language_(general),arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"اقرا القصة القصيرة هاذي واختار الجواب المناسب للـ[فراغ] اللي يكمّل الجملة بشكل صحيح:
الفكرة الرئيسية متاع النص هي [فراغ].",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
130,islamic_studies::1994,islamic_studies,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,"أول إنسان خلقو الله تعالى، وأول نبي هو:|||1. سيدنا آدم
2. سيدنا نوح
3. سيدنا إبراهيم",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
131,arabic_language_(grammar)::7,arabic_language_(grammar),arabic_mmlu,0,1,1,1,0,1,FIXABLE,TRANSLATION,"في الآية القرآنية ﴿إن الله وملائكته يصلون على النبي﴾، شنوّة هو الإعراب الصحيح متاع الواو في كلمة ""يصلون""؟|||1. ضمير متصل في محل رفع فاعل
2. حرف عطف
3. اسم معطوف منصوب وعلامة نصبو الفتحة
4. حرف توكيد ونصب
5. اسم إن منصوب وعلامة نصبو الفتحة",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
132,high_school_geography::74,high_school_geography,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"شنوّة هي الجملة اللي ما توصفش بالصحيح الشركات العابرة للقارات؟|||1. برشا من الشركات العابرة للقارات تخدم في مجالات الإلكترونيك والكيماويات والأدوية والبترول.
2. معظم الشركات العابرة للقارات تنتج وتبيع سلع مصنّعة.
3. معظم الشركات العابرة للقارات مقرها الرئيسي في الولايات المتحدة واليابان والاتحاد الأوروبي.
4. الشركات العابرة للقارات تتحكم فيهم عموما الحكومات الأجنبية.",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
133,arabic_language_(general)::509,arabic_language_(general),arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,"اقرا النص القصير التالي واختار الجواب المناسب للـ[فراغ] اللي يكمّل الجملة بشكل صحيح:
المقصود بقولو (أعطى القرآن بعض الألفاظ العربية القديمة معاني جديدة) [فراغ].|||1. اللي القرآن جعل لبعض الألفاظ العربية القديمة معاني جديدة
2. اللي القرآن جعل لبعض الألفاظ العربية القديمة ألفاظ جديدة
3. اللي القرآن جعل لبعض الألفاظ العربية القديمة معاني قديمة",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
134,philosophy::147,philosophy,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,"الجماليات تتعامل مع الحاجات اللي هي _____.|||1. ضرورية لحياتنا
2. موش مهمة لبرشا ناس
3. موش ضرورية لحياتنا
4. قليل وين نشوفوها",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
135,geography::237,geography,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,وقوع فيضانات مدمرة علامة على:,1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
136,computer_science::84,computer_science,arabic_mmlu,1,1,0,1,1,1,FIXABLE,TRANSLATION,إذا كانت قيمة قطعة الحركة سالبة، الجسم يتقدم لقدام.,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
137,general_knowledge::71,general_knowledge,arabic_mmlu,1,1,0,1,1,1,FIXABLE,TRANSLATION,"تنجّم تتحسن تغذية اليافع باتباع:|||1. أكل الوجبات الرئيسية الثلاثة والتأكيد على أهمية فطور الصباح
2. الزيادة في أكل الماكلة الغنية بالألياف
3. الزيادة في الدهون والحلويات
4. أكل الماكلة المكشوفة",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
138,management::89,management,mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,"شكون من الناس هاذم هو ""الخيري الصناعي""؟|||1. فريدريك تايلور
2. سيبوم راونتري
3. هنري فورد
4. ماكس ويبر",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
139,biology::366,biology,arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,في عملية تصنيع البروتين، يتكوّن معقّد بدء النسخ في خطوة تتسمى:,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
140,general_knowledge::922,general_knowledge,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,من الأغذية الرئيسية اللي تعاون الجسم على النمو والبناء: .......,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
141,history::496,history,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,رئيس الوزراء اللي رافق سمو الأمير عبد الله بن الحسين لبريطانيا باش يكمّلوا إجراءات الاستقلال هو:,1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
142,high_school_world_history::149,high_school_world_history,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"السؤال هذا يتعلّق بالمعلومات التالية.
""المشكل الحقيقي متاع الخدّام هو عدم الأمان في حياتو؛ موش متأكد اللي باش تكون عندو خدمة ديما، موش متأكد اللي باش يبقى بصحتو ديما، ويتوقع اللي نهار من النهارات باش يكبر وما عادش ينجّم يخدم. إذا طاح في الفقر، حتى لو كان بسبب مرض طويل برك، يولّي عاجز تماما، ما ينجّم يعمل شي لروحو، والمجتمع ما يعترف حاليا بحتى التزام حقيقي تجاهو غير المساعدة العادية للفقراء، حتى لو كان خدم طول الوقت بكل أمانة واجتهاد. والمساعدة العادية للفقراء، مع ذلك، فيها برشا نقائص، خاصة في المدن الكبيرة، وين هي أسوأ بياسر من القرية.""
أوتو فون بسمارك، 1884
كيفاش اقتصادي القرن العشرين جون ماينارد كينز باش يقترح على المجتمع باش يتعامل مع تقييم أوتو فون بسمارك لحالة الخدّامة في ألمانيا؟|||1. كينز باش يوصي بتدخل الحكومة باش تحافظ على الطلب الكلي.
2. كينز باش يقترح مساعدة الخدّامة الكبار في السن، أما باش يقول اللي الحكومة ما لازمهاش تتدخل في معظم الحالات.
3. كينز باش يحذّر من تدخل الحكومة في الأمور الاقتصادية الشخصية.
4. كينز باش يدعم اللي ما يتعمل شي، خاطر كان يحس اللي الفقر في المناطق الريفية كان في الحقيقة أخطر من المدن.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
143,physics::230,physics,arabic_mmlu,1,0,0,0,1,1,DISCARD,UNCLEAR,,1,1,1,1,1,1,OK,,DISCARD,UNCLEAR,True
144,general_knowledge::101,general_knowledge,arabic_mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,تعتبر درنات البطاطا متخصصة في تخزين المواد .......,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
145,public_relations::10,public_relations,mmlu,1,1,0,1,1,1,FIXABLE,TRANSLATION,شنيّة المنظمة اللي في الحرب العالمية الأولى أدخلت الحملات الإعلامية اللامركزية باش تحرّك الرأي العام الأمريكي لدعم الحرب؟,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
146,math::88,math,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,سلمى عندها 3 علب. في كل علبة 7 أكياس، وفي كل كيس 100 بالونة. قدّاش من بالونة فما؟,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
147,arabic_language_(general)::576,arabic_language_(general),arabic_mmlu,0,0,0,0,0,0,FIXABLE,TRANSLATION,"اقرا النص القصير التالي واختار الجواب المناسب للـ[فراغ] اللي يكمّل الجملة بشكل صحيح:
الضمير (كم) في الآية ﴿وينزل عليكم من السماء ماء ليطهركم به﴾ يرجع لـ [فراغ].",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
148,history::486,history,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
149,high_school_government_and_politics::58,high_school_government_and_politics,mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
150,sociology::8,sociology,mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,"جماعة ""أمة الإسلام"" كانت تجذب:|||1. الناس اللي تولدوا في بريطانيا من أصول آسيوية
2. الأمريكان البيض اللي حبوا يدخلوا للإسلام
3. الأمريكان من أصل إفريقي اللي حسوا رواحهم مقصيين من المجتمع الأمريكي
4. الناس من أصل كاريبي اللي ساكنين في وسط المدن وعندهم ثقافة شباب خاصة",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
151,law::222,law,arabic_mmlu,0,1,0,0,0,1,FIXABLE,TRANSLATION,"إذا ما تطلبش حضور أعضاء الحكومة وكتّاب الدولة ونواب كتّاب الدولة، ولاّ ما تعطاش الإذن فيه، الشهادة تتلقى كتابة في دار الشاهد:|||1. الرئيس الأول متاع محكمة الاستئناف
2. قاضي يتنتدب إذا كان الشاهد ساكن خارج نفوذ المحكمة
3. يستعين الرئيس الأول ولاّ القاضي المعيّن من عندو بكاتب الضبط
4. توجّه المحكمة اللي تحالت عليها القضية ملخص متاع الوقائع والطلبات والأسئلة المطلوب أداء الشهادة فيهم
5. كل الأجوبة صحيحة",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
